year,keyword,count
2021.0,count_Peaceful_Reunification,2
2022.0,count_Peaceful_Reunification,4
2023.0,count_Peaceful_Reunification,3
2024.0,count_Peaceful_Reunification,3
2025.0,count_Peaceful_Reunification,0
2005.0,count_one_china_principle,0
2006.0,count_one_china_principle,0
2007.0,count_one_china_principle,0
2008.0,count_one_china_principle,2
2009.0,count_one_china_principle,3
2010.0,count_one_china_principle,0
2011.0,count_one_china_principle,0
2012.0,count_one_china_principle,0
2013.0,count_one_china_principle,0
2014.0,count_one_china_principle,1
2015.0,count_one_china_principle,0
2016.0,count_one_china_principle,0
2017.0,count_one_china_principle,0
2018.0,count_one_china_principle,0
2019.0,count_one_china_principle,0
2020.0,count_one_china_principle,1
2021.0,count_one_china_principle,1
2022.0,count_one_china_principle,0
2023.0,count_one_china_principle,1
2024.0,count_one_china_principle,0
2025.0,count_one_china_principle,0
2005.0,count_Tibet,0
2006.0,count_Tibet,1
2007.0,count_Tibet,0
2008.0,count_Tibet,2
2009.0,count_Tibet,20
2010.0,count_Tibet,3
2011.0,count_Tibet,2
2012.0,count_Tibet,9
2013.0,count_Tibet,0
2014.0,count_Tibet,1
2015.0,count_Tibet,0
2016.0,count_Tibet,1
2017.0,count_Tibet,1
2018.0,count_Tibet,0
2019.0,count_Tibet,3
2020.0,count_Tibet,5
2021.0,count_Tibet,2
2022.0,count_Tibet,2
2023.0,count_Tibet,1
2024.0,count_Tibet,0
2025.0,count_Tibet,0
2005.0,count_Chinese_Dream,0
2006.0,count_Chinese_Dream,0
2007.0,count_Chinese_Dream,0
2008.0,count_Chinese_Dream,0
2009.0,count_Chinese_Dream,0
2010.0,count_Chinese_Dream,0
2011.0,count_Chinese_Dream,0
2012.0,count_Chinese_Dream,0
2013.0,count_Chinese_Dream,53
2014.0,count_Chinese_Dream,36
2015.0,count_Chinese_Dream,26
2016.0,count_Chinese_Dream,13
2017.0,count_Chinese_Dream,13
2018.0,count_Chinese_Dream,2
2019.0,count_Chinese_Dream,5
2020.0,count_Chinese_Dream,1
2021.0,count_Chinese_Dream,2
2022.0,count_Chinese_Dream,0
2023.0,count_Chinese_Dream,0
2024.0,count_Chinese_Dream,0
2025.0,count_Chinese_Dream,0
2005.0,count_Community_of_Common_Destiny,0
2006.0,count_Community_of_Common_Destiny,0
2007.0,count_Community_of_Common_Destiny,1
2008.0,count_Community_of_Common_Destiny,0
2009.0,count_Community_of_Common_Destiny,0
2010.0,count_Community_of_Common_Destiny,0
2011.0,count_Community_of_Common_Destiny,5
2012.0,count_Community_of_Common_Destiny,0
2013.0,count_Community_of_Common_Destiny,11
2014.0,count_Community_of_Common_Destiny,8
2015.0,count_Community_of_Common_Destiny,25
2016.0,count_Community_of_Common_Destiny,0
2017.0,count_Community_of_Common_Destiny,0
2018.0,count_Community_of_Common_Destiny,0
2019.0,count_Community_of_Common_Destiny,0
2020.0,count_Community_of_Common_Destiny,0
2021.0,count_Community_of_Common_Destiny,0
2022.0,count_Community_of_Common_Destiny,0
2023.0,count_Community_of_Common_Destiny,0
2024.0,count_Community_of_Common_Destiny,0
2025.0,count_Community_of_Common_Destiny,0
2005.0,count_Crimea,0
2006.0,count_Crimea,0
2007.0,count_Crimea,0
2008.0,count_Crimea,0
2009.0,count_Crimea,0
2010.0,count_Crimea,0
2011.0,count_Crimea,0
2012.0,count_Crimea,0
