rank,word,tfidf_score,country
2,zelensky,0.20301756406672525,Russia
3,donbass,0.20196973147799377,Russia
4,donetsk,0.17236846084632929,Russia
5,nusra,0.16267600940056307,Russia
6,lugansk,0.1613662186646487,Russia
7,mgimo,0.12495403620622961,Russia
8,normandy,0.1212866221456694,Russia
9,poroshenko,0.12023878955693793,Russia
10,jabhat,0.1157855010548291,Russia
11,alexander,0.10661696590342862,Russia
12,church,0.10242563554850269,Russia
13,militant,0.10163976110695405,Russia
14,orthodox,0.0984962633407596,Russia
15,kosovo,0.0958766818689309,Russia
16,armenian,0.09482884928019941,Russia
17,georgia,0.08225485821542158,Russia
18,allegedly,0.08173094192105584,Russia
19,ultimatum,0.07884940230204425,Russia
20,rkiye,0.07020478344500951,Russia
21,normalise,0.0683710764147294,Russia
22,primakov,0.06706128567881504,Russia
23,idlib,0.06627541123726644,Russia
24,polycentric,0.06365582976543772,Russia
25,crimean,0.061036248293609006,Russia
26,kurd,0.0602503738520604,Russia
27,nord,0.0584166668217803,Russia
28,balkan,0.0584166668217803,Russia
29,caucasus,0.0584166668217803,Russia
30,stabilise,0.05789275052741455,Russia
31,russophobic,0.055797085349951585,Russia
32,venezuelan,0.05448729461403722,Russia
33,ussr,0.05317750387812287,Russia
34,topical,0.05134379684784278,Russia
35,bosnia,0.05003400611192842,Russia
36,abkhazia,0.05003400611192842,Russia
37,maidan,0.05003400611192842,Russia
38,civilisational,0.05003400611192842,Russia
39,interstate,0.04977204796474554,Russia
40,rada,0.04951008981756267,Russia
41,harmonise,0.047676382787282576,Russia
42,fertiliser,0.04689050834573396,Russia
43,yerevan,0.04662855019855109,Russia
44,hitler,0.04636659205136821,Russia
45,propaganda,0.04636659205136821,Russia
46,ossetia,0.046104633904185344,Russia
47,formalise,0.045580717609819604,Russia
48,analyst,0.045318759462636735,Russia
49,retranslate,0.045056801315453865,Russia
50,verkhovna,0.04427092687390525,Russia
51,herzegovina,0.04427092687390525,Russia
52,refusal,0.0437470105795395,Russia
53,neutral,0.04191330354925941,Russia
54,normalisation,0.04165134540207654,Russia
55,azerbaijani,0.04165134540207654,Russia
56,ukrainians,0.04138938725489366,Russia
57,incidentally,0.04138938725489366,Russia
58,petr,0.040079596518979306,Russia
59,kiev,0.039817638371796436,Russia
60,yanukovych,0.03929372207743069,Russia
61,skripal,0.03798393134151634,Russia
62,yevgeny,0.037198056899967726,Russia
63,odessa,0.03641218245841911,Russia
64,navalny,0.03641218245841911,Russia
65,ghouta,0.03615022431123623,Russia
66,organiser,0.035102391722504754,Russia
67,amnesty,0.034578475428139015,Russia
68,shell,0.034578475428139015,Russia
69,baku,0.03353064283940752,Russia
70,glorification,0.03300672654504178,Russia
71,lukashenko,0.03300672654504178,Russia
72,georgian,0.03274476839785891,Russia
73,confirmation,0.03222085210349317,Russia
74,bombing,0.03169693580912743,Russia
75,criticise,0.03143497766194456,Russia
76,negotiator,0.031173019514761684,Russia
77,gaddafi,0.030911061367578815,Russia
78,hamas,0.030649103220395938,Russia
79,sputnik,0.03038714507321307,Russia
80,tayyip,0.0301251869260302,Russia
81,recep,0.029863228778847326,Russia
82,serb,0.029863228778847326,Russia
83,inspector,0.029601270631664456,Russia
84,shoigu,0.029339312484481586,Russia
85,pristina,0.029339312484481586,Russia
86,nationalist,0.02907735433729871,Russia
87,finalise,0.02855343804293297,Russia
88,canonical,0.02855343804293297,Russia
89,azov,0.0282914798957501,Russia
90,speculate,0.0282914798957501,Russia
91,bulgarian,0.0282914798957501,Russia
92,indivisibility,0.027767563601384358,Russia
93,citizenship,0.027767563601384358,Russia
94,bsec,0.027505605454201488,Russia
95,saxon,0.027505605454201488,Russia
96,hydrocarbon,0.027505605454201488,Russia
97,cyprus,0.02698168915983574,Russia
98,anglo,0.02698168915983574,Russia
99,russophobia,0.026719731012652872,Russia
100,rex,0.026719731012652872,Russia
